212 / 215 done,Term,Context/Tag/Category,Definition,Original definition,Source,2,Term,Context/Tag/Category,Definition,Source,,Overlap,#VALUE!,,,,,,,,,,,,,,
ANO,Management,Management,out of scope?,"The act of planning, organising, directing, and controlling resources, activities, and people to achieve organisational goals and objectives effectively.",DARE,,,,,,,,,,,,,,,,,,,,,,
KO'S,Medical Research,Health Research,Discipline-specific - remove?,"A process to investigate a health-related question. Often to see if it can improve care and treatment for patients or systems in the NHS.

Research is conducted in research “studies” or “projects”.",DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Medical Research Council (MRC),Health Research,Proper noun - remove? (e.g. do we have UKRI or other funding bodies?!),"The UK's Medical Research Council (MRC) is a government organisation that funds and supports scientists. These scientists’ study medical topics to discover better ways to keep us healthy and treat illnesses. Since 1913, they've been involved in this effort, uncovering important information that supports medical professionals in caring for us. The MRC funds DATAMIND.",DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Mental Capacity,Health Research,Discipline-specific - remove?,"The ability of a person to make an informed decision. In the UK, the law sets out what this means. Research involving people whose mental capacity is impaired has to follow special rules to keep participants safe. People's ability to understand things can change based on their health and situation. When they agree to something, it's important to check if they understand because this can sometimes be tricky to figure out. That's why it's necessary to assess their understanding right when they agree.",DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Mental Health Data,Health Services & Health Data,Discipline-specific - remove,Medical data relating to mental health (psychological or psychiatric) problems and health care.,DM,,,,,,,,,,,,,,,,,,,,,,
SL,Mental Health Text Analytics Cloud (MH-TAC),Computing,Discipline-specific - remove,"A prototype platform that uses advanced technology to analyse text files from various mental health services. It helps process and understand the information using natural language processing algorithms. The text is made anonymous or replaced with fake information to prevent identification. Strong security measures, like encryption and controlled access, are in place to ensure this protection. Regular checks are done to keep the platform secure and compliant with privacy rules.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Metadata,Data in general,"Metadata is data that describes or provides information about other data. It is used to provide context, meaning, and structure to data, and helps to make it easier to understand and use. Metadata can describe various aspects of data, such as its content, format, structure, origin, quality, and usage.","Metadata is data that describes or provides information about other data. It is used to provide context, meaning, and structure to data, and helps to make it easier to understand and use. Metadata can describe various aspects of data, such as its content, format, structure, origin, quality, and usage.",DARE,,,,,,,,,,,,,,,,,,,,,,
KO'S,Microarray (array for short),Health Research,Discipline-specific - remove?,"A DNA microarray is like a super microscope slide with thousands of tiny spots, and each spot has a specific DNA sequence or gene. It's a tool used in the lab to check the activity of many genes all at once. This helps scientists understand which genes are active and how they might be influencing things in our bodies.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Minimum Viable Product (MVP),Computing,"A minimal viable product (MVP) is a version of a product or service that has the minimum set of features and functionality required to meet the needs of early adopters or customers. The goal of an MVP is to quickly validate the product idea and test the market demand, while minimizing development costs and time-to-market.","A minimal viable product (MVP) is a version of a product or service that has the minimum set of features and functionality required to meet the needs of early adopters or customers. The goal of an MVP is to quickly validate the product idea and test the market demand, while minimizing development costs and time-to-market.",DARE,,,,,,,,,,,,,,,,,,,,,,
SL,Missingness data,Analysis,"Scope? NB
[See also: https://vocabs.ardc.edu.au/repository/api/lda/codata/codata-research-data-management-terminology/v001/resource?uri=https%3A%2F%2Fterms.codata.org%2Frdmt%2Fmissing-data] ","Missingness means that some data is not available or is incomplete in a dataset. It's like having a few pieces missing from a puzzle, which can make it harder to see the whole picture.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Mixed methods research,Analysis,Scope?,This sort of research mixes methods. It often includes analysis of numerical data (quantitative research) and analysis of interviews with people (qualitative research) to get a clearer picture of something.,DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Monitoring,Management,"The continuous or periodic observation, measurement, or tracking of systems, processes, activities, or events to ensure compliance, performance, or security.","The continuous or periodic observation, measurement, or tracking of systems, processes, activities, or events to ensure compliance, performance, or security.",DARE,,,,,,,,,,,,,,,,,,,,,,
LM,National Data Guardian,Special aspects in the NHS Context,"The National Data Guardian (NDG) for Health and Social Care is an independent champion for patients and the public when it comes to matters of their confidential health and social care data, and appointed by the Secretary of State for Health and Social Care by statute . To support the development and maintenance of trustworthy systems and practices, the NDG provide advice, encouragement, and challenge to the health and social care system on the safe, appropriate, and ethical use of people’s confidential health and care information.

The NDG advise the UK government and NHS on the processing of health and adult social care data in England.  Both the Caldicott Guardian and the National Data Guardian protect patient information. The Caldicott Guardian focuses on data protection within individual healthcare organisations.",The National Data Guardian for Health and Social Care advises the UK government and NHS on the processing of health and adult social care data in England. They are independent and appointed by the Secretary of State for Health and Social Care by statute. Their job is to make sure people’s confidential information is safeguarded securely and used properly. Both the Caldicott Guardian and the National Data Guardian protect patient information. The National Data Guardian oversees data use across the entire UK health sector to ensure proper use of patient info. The Caldicott Guardian focuses on data protection within individual healthcare organisations.,DM,,,,,,,,,,,,,,,,,,,,,,
LM,National Data Opt-Out (NDO),Special aspects in the NHS Context,"By default, patients are included in the system. But if you don't want your private information to be shared, you can choose to opt-out using the National Data Opt-out in England and Wales.
The NHS National Data Opt-Out allows you say 'no' to sharing your personal information for things like research without asking you first. This comes from the NHS Act Section 251 and the requirements outlined in the UK GDPR and Data Protection Act.
When you decide to opt-out, your personal information remains exclusively for your medical care.","By default, patients are included in the system. But if you don't want your private information to be shared, you can choose to opt-out using the National Data Opt-out in England.
The NHS National Data Opt-Out allows you say 'no' to sharing your personal information for things like research without asking you first. This comes from the NHS Act Section 251.
However, if your information can't be linked to you or the NHS only uses it for their own purposes, this rule doesn't count. Sometimes, if they get special permission (Section 251 approval), they can still use information that identifies you.
The trouble is, not many people know about this choice to opt-out. Usually, patients are added automatically unless they decide not to be.
When you decide to opt-out, your personal information remains exclusively for your medical care.",DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,National Health Service (NHS),Health Services & Health Data,"Discipline-specific - remove? Or keep but then we need other agencies included, like ONS, etc.","The National Health Service (NHS) refers to the publicly funded health care systems in England, Scotland, and Wales. In Northern Ireland, it is known as Health and Social Care (HSC).",DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Natural experiments,Health Research,Discipline-specific - remove?,Research studies that use real-world events or policy differences between nations or areas to understand their different impacts on populations. These studies don't involve direct intervention or manipulation by researchers.,DM,,,,,,,,,,,,,,,,,,,,,,
,Natural Language Processing (NLP),Analysis,"Cf. Text Processing. Balint to finish. Computer software exists to “read” free text written in a natural (human) language, and attempt to extract it as structured information. However, there are limitations because words can have different meanings, and the software cannot understand emotions or the intentions behind why certain words were chosen. 
Examples of NLP in the TRE space include, programs to find medications, drug treatment side effects, diagnoses, blood tests, recorded thoughts of suicide, “negative” symptoms of schizophrenia, and so on.

BS defintion: NLP is a field of artificial intelligence (AI) that enables computer software to analyze, interpret, and generate human language. NLP allows machines to extract meaningful information from text, identify key details, uncover patterns, and detect trends within large volumes of text data, but faces challenges because words can have different meanings depending on their context, and the software cannot understand emotions or the intentions behind why certain words were chosen. Examples of NLP in the TRE space include: identifying symptoms, diagnoses and treatments in electronic health records; identifying references to mental health concerns such as suicidial thoughts, self-harm, or changes in mode from clinicians notes; and programs to automatically identify patients based on eligibility criteria for research studies or clinical trials","Computer software exists to “read” free text written in a natural (human) language, and attempt to extract it as structured information. However, there are limitations because words can have different meanings, and the software cannot understand emotions or the intentions behind why certain words were chosen.
Examples of NLP include, programs to find medications, drug treatment side effects, diagnoses, blood tests, recorded thoughts of suicide, “negative” symptoms of schizophrenia, and so on. {Revise examples to make more general}
NLP is difficult because grammar is complex. An NLP program to find hopelessness as a symptom of depression might need to distinguish “X is feeling hopeless” from “X used to feel hopeless but is now better”, “X’s spouse is feeling hopeless”, and “X said he is hopeless at football”.
NLP programs are imperfect, and need checking when they are designed in one context and then used in another, but may still be very useful. NLP is mostly used for research, but as NLP improves, it could become common in clinics and hospitals because it helps doctors understand and use patient information better. For instance, it might assist doctors in quickly finding important details in medical records, making diagnoses faster and more accurate.",DM,,,,,,,,,,,,,,,,,,,,,,
LM,NHS Act and related confidentiality law,UK law and rules,"Discipline specific - to remove?

In the UK, the use of health information is regulated by a number of laws and rules e.g. UK GDPR, Data Protection Act. Additionally, the NHS Act 2006 is also important with respect to the processing of healthcare data. It has been amended and clarified by other laws. Government Ministers also create additional regulations along with it.
The duty of confidentiality in health care also comes from common law (which is to say, case law coming from court cases rather than statutes decided by Parliament) and has a part in the regulation of the use of health information.
The NHS doesn't just rely on patient agreement to keep records, especially when patients can't consent.
There are different ways data is used:
1. Needed Services: For medical help.
2. Legal Duties: To follow record-keeping laws.
3. Saving Lives: When there's urgent danger.
4. Public Tasks: For public health duties.
5. Fair Interests: Balancing organisation and individual needs.
6. Common Law: From court cases about confidentiality.

All these ways help protect patient info, and agreement isn't always the only thing that matters, especially under the NHS Act and related rules.","In the UK, the use of health information is regulated by a number of laws and rules e.g. UK GDPR, Data Protection Act. In England, the NHS Act 2006 is also important for this. It has been amended and clarified by other laws. Government Ministers also create additional regulations along with it.
The duty of confidentiality in health care also comes from common law (which is to say, case law coming from court cases rather than statutes decided by Parliament) and has a part in the regulation of the use of health information.
The NHS doesn't just rely on patient agreement to keep records, especially when patients can't consent.
There are different ways data is used:
1. Needed Services: For medical help.
2. Legal Duties: To follow record-keeping laws.
3. Saving Lives: When there's urgent danger.
4. Public Tasks: For public health duties.
5. Fair Interests: Balancing organisation and individual needs.
6. Common Law: From court cases about confidentiality.

All these ways help protect patient info, and agreement isn't always the only thing that matters, especially under the NHS Act and related rules.",DM,,,,,,,,,,,,,,,,,,,,,,
LM,NHS Act Section 251 approval,UK law and rules,Discipline specific - to remove?,"Research is often carried out with the explicit consent of the patients involved, or by using de-identified data to protect their privacy. However, there are circumstances in England and Wales where research can be conducted using identifiable patient data without their consent. This is allowed under the General Data Protection Regulation (GDPR) and the Data Protection Act (DPA) if the research is deemed to be in the public interest.
For this type of research, specific approvals are required not only from a Research Ethics Committee (REC) but also from the Confidentiality Advisory Group. Additionally, it is subject to a national opt-out, meaning that patients have the option to choose not to have their identifiable data used for research purposes.
One well-known example of research conducted in this manner is the National Confidential Enquiry into Suicide and Safety in Mental Health. However, there are numerous other projects that follow similar protocols. In some cases, only basic identifiable information such as names and dates of birth is used to link data, and this information is removed before researchers see it. Even then, special approvals may still be necessary.
To ensure transparency, there is a public register where approved Section 251 research projects are listed, allowing individuals to access information about ongoing studies conducted with identifiable patient data.",DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Nucleotides,Health Research,Discipline-specific - remove?,"Are the small building blocks that make up our genetic code. They are like the letters in a secret code, and they come in four different types: A, T, C, and G in DNA, and A, U, C, and G in RNA. These nucleotides join together in a specific order to create the instructions that tell our bodies how to grow, develop, and function. They are the basic units of our genetic information, which is passed down from parents to children, shaping who we are.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,On-premises,Computing,"Also ""on-prem"". See [Cloud Computing].",,,,,,,,,,,,,,,,,,,,,,,,
SL,OpenSAFELY,Organisations,"Proper noun, remove?","openSAFELY is an open-source software platform that provides a secure and efficient way to carry out analyses on large sets of linked electronic health records (EHRs). It was developed by researchers at the University of Oxford in collaboration with NHS Digital and TPP, a UK-based EHR software company. The openSAFELY platform enables researchers to conduct observational studies on real-world patient data without compromising patient confidentiality or data security. It provides a secure data processing environment that allows analyses to be carried out directly on encrypted EHRs, without the need to transfer or share data outside of the secure environment. The platform is built using a combination of open-source technologies, including Docker, Kubernetes, and Python, and is designed to be scalable, flexible, and easy to use. It includes a range of tools and resources, such as libraries for data extraction and processing, pre-built analysis templates, and data visualization tools, which make it easy for researchers to conduct analyses on EHR data.",DARE,,,,,,,,,,,,,,,,,,,,,,
LM,Opt in,Health Research,"An active choice, made by a participant or individual to be involved ""in"" research or provide their data for a research project. This is not a passive action, and cannot include individuals who have automatically been included.","Where people choose to be “in” to participate, or not included (e.g. choosing to volunteer for research). If they don't make that active choice, they won't be included or involved in the research. So, it's all about individuals deciding to be ""in"" and participate, rather than being automatically included.",DM,,,,,,,,,,,,,,,,,,,,,,
LM,Opt out,Health Research,"An active choice, made by a participant or individual to not be be involved in research or provide their data for a research project. This can include idividuals who choose to not be included, or withdraw their consent to their data being included and are therefore excluded or ""out"" of any analyses of the data.","When people have to specifically decide not to be part of research, or share data that already exists they will automatically be included. For example, when it comes to using their anonymous health data for research, if people don't actively opt out, their data will be included. So it's about people having to take action to be ""out"" and exclude themselves.",DM,,,,,,,,,,,,,,,,,,,,,,
AH,Participatory Research,Health Research,See comment on original definition.,"""Participatory Research"" can have different meanings depending on the situation. In one sense, it's when regular people take part in research. This kind of research usually involves meeting with researchers, and providing information or undergoing tests like questionnaires or brain scans. It can even include testing new treatments. In these studies, only those who agree to join are included. This is part of participatory research, and it's important that everyone knows all about it. This is where ""Informed Consent"" comes in. Informed consent is a big rule in participatory research. It means before someone says yes to joining a study, they need to understand everything important about it, like what the study wants to find out and what could be good or bad about it. Informed consent makes sure people decide with full knowledge.
Sometimes, people who can't make decisions for themselves might be part of participatory research. But this only happens if the study is about the condition that makes it hard for them to decide, like dementia. This way, they can still be part of research that fits their situation.",DM,,,,,,,,,,,,,,,,,,,,,,
AH,Patient/ Public Engagement in Research (PPE) Patient and Public Engagement (PPE),Health Research,"Adapted from ADRUK definition:
A purposeful set of activities designed to promote an ongoing two-way dialogue with the public about data and research, driven by active listening and responding.
Example: A researcher attending science festivals to enhance the public’s understanding of a specific topic through engaging and interactive activities.
See also: Patient and Public Involvement (PPI) 
","Engagement"" means sharing information and knowledge about research with patients and the public. This can be done through conversations with researchers, websites, written papers, or public events where the public and/or patients are invited to attend, participate and learn. The goal is to communicate research findings and insights to a wider audience.",DM,,,,,,,,,,,,,,,,,,,,,,
AH,Patient/ Public Involvement in Research (PPI) Patient and Public Involvement (PPI),Health Research,"Patients and the public are included in the decision-making process within a piece of work or research. By providing their own insights and advice from personal experience they can offer unique and valuable perspectives throughout the planning, development and implementation stages. 
See also: Patient and Public Engagement (PPE)
","""Involvement"" means that research is done alongside ""with"" or ""by"" patients or members of the public (e.g. as advisors or researchers). In contrast to research “to”, “about” or “for” them. This is very different to participation in research.
Patient and Public Involvement (PPI) means that people who have personal experience of a specific condition or situation are included in the planning, conduct, and application of research studies. They have a say in how the research is designed and carried out, ensuring that it meets their needs and is more relevant to their real-life experiences. By involving patients and the public, research becomes more focused on what matters to them, leading to better outcomes and benefits for everyone involved.
To ensure patients and the public have a direct voice in the running and direction of DATAMIND, a Super Research Advisory Group (SRAG) was created. It is composed of people from various backgrounds, including service users and carers from across the UK, who have an interest in data. Many have connections to similar Research Advisory Groups in their local areas and to local communities interested in mental health problems. The SRAG plays a vital role in DATAMIND and contributes to all aspects of the project.",DM,,,,,,,,,,,,,,,,,,,,,,
AH,Patient/Service User,Health Services & Health Data,No change.,"Someone who uses health care services (such as GPs, hospitals, and clinics).",DM,,,,,,,,,,,,,,,,,,,,,,
AH,Peer Review,Health Research,"A thorough evaluation process to ensure the quality and validity of scientific studies before they are shared publicly. Reviewers assess the research by looking at things like the methods used and whether the conclusions are supported by the results. They may suggest changes before recommending publication, or they may advise against publishing.","After completing research, the findings are usually sent to a scientific journal as a manuscript or paper. The journal's editor then shares the paper with other experts in the field, called peer reviewers or referees and sometimes public/lay/lived experience reviewers, e.g. BMJ (British Medical Journal).
These reviewers assess the research by looking at things like the methods used and whether the conclusions are supported by the results. They may suggest changes before recommending publication, or they may advise against publishing. Peer review is considered the “gold standard” for research, but it doesn't guarantee that the research is always correct. It serves as a thorough evaluation process to ensure the quality and validity of scientific studies before they are shared publicly.",DM,,,,,,,,,,,,,,,,,,,,,,
,Personal Data,Data in general,,"UK data protection regulation defines personal data as any piece of information that someone can use to identify, with some degree of accuracy, a living person. It is also something which can confirm your physical presence somewhere.
- A name and surname
- A home address
- An email address
- An identification card number
- Location data
- An Internet Protocol (IP) address
- The advertising identifier of your phone
Personal data can also be sensitive (or Special Category data). For more information see Sensitive Data.",LM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Phenotype,Health Research,Discipline-specific - remove?,"A phenotype is a set of traits or characteristics that can be observed or measured related to a particular concept or diagnosis. It includes things like physical descriptions (e.g., age, height, weight), health conditions, medications, and other measurable factors.",DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Phenotype Library,Health Research,Discipline-specific - remove?,A repository or collection of standardised definitions and measurements of specific characteristics or traits used in research.,DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Pledges to use anonymous data for research,Special aspects in the NHS context,Scope?,The NHS Constitution for England promises that patients’ anonymous data will be used for research and to improve the care of others.,DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Policy and Process Data *,Management,Overly technical?,"Information or data related to organisational policies, procedures, guidelines, or processes, often used for documentation, compliance, and governance purposes.",DARE,,,,,,,,,,,,,,,,,,,,,,
KO'S,Premature mortality gap,Health Services & Health Data,Discipline-specific - remove,Refers to the differences in age of death and death rates across specific groups of people e.g. those with severe mental illness. It highlights a health inequality where specific populations face higher rates of death.,DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Primary Care Data,Health Services & Health Data,Discipline-specific - remove,"Data collected in primary care settings, such as general practitioner (GP) clinics, which provide the first point of contact for people seeking healthcare.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Principal Investigator (PI),Running and overseeing research,"The researcher in charge of a project or study at a particular site (e.g. hospital or university). The PI is responsible for overseeing the study's progress, coordinating with the team members involved, and ensuring that the research is conducted according to the approved plan. The PI plays a crucial role in managing the study.","The researcher in charge of a study at a particular site (e.g. hospital or university). For a research study at a single site, this is the same as the chief investigator They are responsible for overseeing the study's progress, coordinating with the team members involved, and ensuring that the research is conducted according to the planned protocols. The PI plays a crucial role in managing the study.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Private Cloud,Computing,See [Cloud Computing].,,,,,,,,,,,,,,,,,,,,,,,,
RMB/LM,Pseudonymisation,Identifiability,"[See also: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-P_140.xml]


ICO guidance on anonymisation and psuedonymisation https://ico.org.uk/media/1061/anonymisation-code.pdf","Data where the direct identifiers e.g. names have been removed and replaced by a research identifier (ID) or “pseudonym”, typically random codes that make no sense. Some details, like the exact date of birth, might also be changed to be less specific.
For example, instead of saying ""John Smith, a man born on May 5, 1980,"" the modified data would look like ""Research ID c430c2f7a298b4e7ccd8dd763e1d85f6, male, born 1980.""
It may be possible and permitted for some people or organisations to re-identify or find the person, but it is impossible for others without those permissions. For example, the NHS Trust that performed the pseudonymisation could look up that c430c2f7a298b4e7ccd8dd763e1d85f6 is John Smith, but researchers analysing the data couldn’t.",DM,,,,,,,,,,,,,,,,,,,,,,
AH,Public Benefit,Health Research,"Adapted from ADR UK & DM: 
Also known as ‘public good’, research or activity which is motivated by its benefit to society. This work often aims to provide evidence for public policies, services or decisions to ultimately improve lives.
Example: health data research to learn more about the causes, characteristics, or effects of a disease or condition, and how to best treat it, to improve health and care of patients and the public.
","When NHS data is used for research, the patients who participate in the research don't usually get immediate benefits from it. However, the research is done with the hope that it will benefit the general public and patients in the future. The main purpose of this research is to learn more about the causes, characteristics, or effects of a disease or condition, and how to best treat it. This knowledge can then be used to help others who may have similar health problems in the future.
Example might include:
Looking at who does and doesn’t get a particular condition, to discover what might put people at risk.
Studying people with a disease or condition in detail, to understand their problems or to develop new ideas about how to help them.
Conducting a trial of a new treatment with volunteers who have a particular condition, to see if it works.
Studying people who have had a certain treatment, to see how well it works or what side effects it has.

These days, the published results of research funded by UK public bodies must be made available freely to everyone. Nearly all peer-reviewed medical research can be found at PubMed (https://pubmed.ncbi.nlm.nih.gov/).",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Public Cloud,Computing,See [Cloud Computing].,,,,,,,,,,,,,,,,,,,,,,,,
AH,Public Dissemination,Processes,"Adapted from NIHR & DM: 
Communicating the findings of a research project or project information with the general public.",Sharing of project information or findings with the general public.,DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Qualitative Analysis,Analysis,"Analysis without numbers means studying information based on qualities rather than quantities. Instead of focusing on numbers and statistics, this type of analysis looks at themes. It often involves interpretation and exploration, trying to understand the meaning behind the information.
For example: Qualitative analysis would be the best way to process interviews with people in which their perspectives and experiences were recorded.","Analysis without numbers means studying information based on qualities rather than quantities. Instead of focusing on numbers and statistics, this type of analysis looks at themes. It often involves interpretation and exploration, trying to understand the meaning behind the information.
One way to gather this qualitative data is through interviews with the people involved, where their perspectives and experiences are shared and analysed. This approach helps researchers gain a deeper understanding of the subject matter by delving into the rich details and personal insights provided by participants. Another example is asking a focus group about a topic, and teasing out themes in their responses (thematic analysis).",DM,,,,,,,,,,,,,,,,,,,,,,
SL,Quality Control Complete,Processes,"Sounds a bit too specific to DM, remove?","Is the process of carefully checking and verifying the data or samples has been finished. It's like doing a thorough inspection to make sure everything is accurate and free from errors. This step ensures that the data meets specific quality standards and is reliable for further analysis or use. It's like giving the data a green light, saying it's good to go!",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Quality Management Data *,Management,Out-of-scope - remove?,"Data collected and analysed to assess and monitor the performance and effectiveness of quality management systems, processes, and initiatives within the TRE organisation.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Quality Management Reporting,Management,Out-of-scope - remove?,The generation and dissemination of reports or dashboards that provide insights and metrics on the performance and effectiveness of quality management processes and activities.,DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Quality Manager,Management,Out-of-scope - remove?,"A person responsible for managing and ensuring the quality of processes and services within an organisation, by implementing quality management systems and practices.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Quantitative Analysis,Analysis,Out-of-scope - remove?,"Analysis using numbers means studying data by focusing on quantities and measurements. This involves using mathematical and statistical methods to analyse and interpret the information. Researchers look at numerical values, such as counts, percentages, averages, or correlations, to gain insights and draw conclusions from the data. This type of analysis allows for objective and quantitative assessment of trends, patterns, and relationships within the data.",DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Randomised Controlled Trials (RCTs),Health Research,Discipline-specific - remove?,"An experiment to test an intervention, such as a new medication. In a typical study, people with a condition are randomly assigned to two conditions. One group is given the new medication and the other are given a placebo (dummy) medication as the “control” condition. Having a control group is important because some changes may not be due to the medication but would have happened anyway.
In a “double-blind” trial, neither the patients nor their clinicians know which is which. This is the best way to test if a treatment works. It's done this way to make sure that the results are not influenced by people's expectations or biases. By comparing the outcomes of the two groups, researchers can determine if the new treatment is effective or not.
All fair tests (RCTs) follow strict rules and involve everyone in the research process. This way, everyone takes part. The process includes comprehensive quality control and rigorous quantitative analysis.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Registry ,Computing,"A centralised database, repository, or system that stores and manages information, configurations, or records related to specific entities, such as users, systems, or resources.","A centralised database, repository, or system that stores and manages information, configurations, or records related to specific entities, such as users, systems, or resources.",DARE,,,,,,,,,,,,,,,,,,,,,,
KO'S,Relatedness,Health Research,Discipline-specific - remove?,"Relatedness refers to how genetically similar or connected individuals are to each other. It's like knowing if people in a study are siblings or cousins, which can affect how their genetic information is analysed and interpreted.",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Relational Database,Data in general,"An organised collectiom of data, where data are related to each other in a systematic manner so that they can be reorganised and accessed in a number of different ways. A relational database may house one or many datasets.
[See also: https://vocabs.ardc.edu.au/repository/api/lda/codata/codata-research-data-management-terminology/v001/resource?uri=https%3A%2F%2Fterms.codata.org%2Frdmt%2Fdatabase] ",,,,,,,,,,,,,,,,,,,,,,,,
RMB,Research Approvals,Running and overseeing research,"All research that involves data from individuals must get approval from an authorised body. For research with NHS data, for example, this would be the NHS Research Ethics Committee (REC). Approvals committees often include both researchers and members of the public, and their job is to make sure that the research is planned and conducted in a fair and ethical way and that it benefits the public.","All research that involves NHS patients or data must get permission from an NHS Research Ethics Committee (REC). This committee includes both researchers and members of the public. REC’s job is to make sure that the research is planned and conducted in a fair and ethical way and that it benefits the public.
The committee looks at the research proposal to check if it meets ethical standards. They want to make sure that the rights and well-being of the patients are protected. They also want to see if the research will have a positive impact on the public by improving our understanding of health or finding better ways to provide care.
By going through this approval process, the NHS makes sure that research involving their patients or data is done in a responsible and ethical manner, and that it helps the public in some way.
Some types of research need approvals from other regulatory or NHS organisations as well. (There are other kinds of RECs too: for example, research in a university with healthy volunteers would usually be approved by a university REC, not an NHS REC.)",DM,,,,,,,,,,,,,,,,,,,,,,
RMB,Re-identification Risk Assessment Tooling *,Risk Management,Too specific - remove?,"Tools or methodologies used to assess and quantify the potential risk of re-identifying individuals from anonymized or de-identified datasets, often used in privacy-sensitive research or data sharing.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Repository Management,Computing,Overy techie?,"The management and administration of repositories, which are centralised storage locations for versioned files, code, documentation, or other digital assets. ",DARE,,,,,,,,,,,,,,,,,,,,,,
SL,Requirements Gathering and Monitoring *,Computing,"Too generic, remove?","The process of collecting, documenting, and managing the functional and non-functional requirements for the TRE based on the TRE organisation's goals and data assets.",DARE,,,,,,,,,,,,,,,,,,,,,,
AH,Researcher(s) *,Other,"Individuals or groups who utilise and analyse data for research purposes or as part of their work, such as scientists, analysts, or other professionals.","Individuals or groups who utilise and analyse data for research purposes or as part of their work, such as scientists, analysts, or other professionals.",DARE,,,,,,,,,,,,,,,,,,,,,,
SL,Resource Allocation,Management,"Too generic, remove?","The process of assigning, distributing, and managing resources (such as personnel, finances, equipment, or time) within the TRE organisation to meet objectives and priorities effectively.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Risk Assessment,Risk Management,"The systematic evaluation and analysis of potential risks, threats, or vulnerabilities, including their likelihood, potential impact, and the effectiveness of existing controls or mitigation measures.
[See also: https://www.elgaronline.com/display/book/9781035300921/b-9781035300921-R_69.xml]","The systematic evaluation and analysis of potential risks, threats, or vulnerabilities, including their likelihood, potential impact, and the effectiveness of existing controls or mitigation measures.",DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Risk Ownership,Risk Management,Too specific - remove?,The assignment of responsibility and accountability to individuals or entities for managing and mitigating specific risks within the TRE organisation.,DARE,,,,,,,,,,,,,,,,,,,,,,
RMB,Risk Treatment,Risk Management,Too specific - remove?,"The selection and implementation of strategies, controls, or measures to manage or mitigate identified risks, such as risk avoidance, risk transfer, risk reduction, or risk acceptance.",DARE,,,,,,,,,,,,,,,,,,,,,,
KO'S,RNA sequencing,Health Research,Discipline-specific - remove?,Is like taking a snapshot of the messages that our genes are sending out. It helps scientists understand which genes are active and producing proteins at a specific moment. This method provides valuable insights into how our genes work and how they affect our health and well-being. It's like eavesdropping on the genetic conversations happening inside our cells.,DM,,,,,,,,,,,,,,,,,,,,,,
KO'S,Routinely Collected Data,Health Services & Health Data,Either remove (health-discipline specific) or keep but make agnostic to discipline?,"Data collected by health, social, or school services during their everyday tasks, like doctor visits or school days. This is also known as ""routinely collected data"" or ""real-world data.""
This data is not specifically gathered for research purposes. For example routinely collected health data includes details about a patient's medical history, diagnoses, treatments, medications, and other relevant health information. Researchers can use this data to analyse trends and associations and gain insights into real-world healthcare practices.",DM,,,,,,,,,,,,,,,,,,,,,,
